id,competencia,descripcion,dimension_id,categoria,nivel_complejidad
56,Motivación de equipos,Inspiración del rendimiento grupal,6,Motivación,Alto
57,Negociación estratégica,Alcance de acuerdos beneficiosos,6,Negociación,Alto
58,Construcción de consenso,Facilitación de acuerdos grupales,6,Facilitación,Alto
59,Mentoring y coaching,Desarrollo de capacidades en otros,6,Desarrollo,Alto
60,Gestión de diversidad,Aprovechamiento de diferencias en equipos,6,Diversidad,Alto
61,Análisis crítico,Evaluación objetiva de información y argumentos,7,Análisis,Alto
62,Evaluación de evidencias,Valoración de la calidad de pruebas y datos,7,Evaluación,Alto
63,Detección de sesgos,Identificación de prejuicios en razonamiento,7,Detección,Alto
64,Argumentación lógica,Construcción de razonamientos válidos,7,Argumentación,Alto
65,Cuestionamiento sistemático,Formulación de preguntas pertinentes,7,Cuestionamiento,Alto
66,Síntesis crítica,Integración evaluativa de múltiples perspectivas,7,Síntesis,Alto
67,Metacognición,Reflexión sobre los propios procesos de pensamiento,7,Metacognición,Alto
68,Toma de decisiones,Selección óptima entre alternativas,7,Decisiones,Alto
69,Resolución de dilemas,Manejo de situaciones con múltiples consideraciones éticas,7,Dilemas,Alto
70,Pensamiento sistémico,Comprensión de interrelaciones complejas,7,Sistemas,Alto
71,Flexibilidad cognitiva,Adaptación mental a nuevas situaciones,8,Flexibilidad,Alto
72,Aprendizaje autónomo,Capacidad de adquirir conocimientos independientemente,8,Aprendizaje,Alto
73,Gestión del cambio,Adaptación efectiva a transformaciones,8,Cambio,Alto
74,Resiliencia académica,Recuperación ante dificultades de aprendizaje,8,Resiliencia,Alto
75,Curiosidad intelectual,Motivación intrínseca por el conocimiento,8,Curiosidad,Medio
76,Autoregulación,Control consciente del propio comportamiento,8,Autocontrol,Alto
77,Tolerancia a la ambigüedad,Comodidad con situaciones inciertas,8,Tolerancia,Alto
78,Actualización continua,Mantenimiento de conocimientos actualizados,8,Actualización,Alto
79,Transferencia de aprendizaje,Aplicación de conocimientos en nuevos contextos,8,Transferencia,Alto
80,Metacognición de aprendizaje,Conciencia sobre los propios procesos de aprendizaje,8,Metacognición,Alto
81,Programación básica,Desarrollo de algoritmos y código,1,Tecnología,Medio
82,Análisis de sistemas,Comprensión de arquitecturas complejas,1,Sistemas,Alto
83,Modelado matemático,Representación matemática de fenómenos reales,1,Modelado,Alto
84,Optimización,Búsqueda de soluciones óptimas,1,Optimización,Alto
85,Traducción e interpretación,Comunicación entre idiomas,2,Idiomas,Alto
86,Comunicación intercultural,Interacción efectiva entre culturas,2,Cultura,Alto
87,Periodismo investigativo,Investigación y comunicación de noticias,2,Periodismo,Alto
88,Edición y corrección,Mejoramiento de textos escritos,2,Edición,Medio
89,Investigación médica,Estudio de enfermedades y tratamientos,3,Medicina,Alto
90,Ingeniería biomédica,Aplicación de ingeniería a problemas médicos,3,Ingeniería,Alto
91,Biotecnología,Aplicación de organismos vivos en tecnología,3,Biotecnología,Alto
92,Ciencias ambientales,Estudio de problemas ambientales,3,Ambiente,Alto
93,Política pública,Desarrollo de políticas gubernamentales,4,Política,Alto
94,Trabajo social,Intervención en problemas sociales,4,Social,Alto
95,Criminología,Estudio del crimen y comportamiento criminal,4,Criminología,Alto
96,Diplomacia,Negociación en relaciones internacionales,4,Diplomacia,Alto
97,Emprendimiento,Creación y gestión de nuevos negocios,5,Negocios,Alto
98,Marketing creativo,Promoción innovadora de productos/servicios,5,Marketing,Alto
99,Diseño de experiencia,Creación de experiencias de usuario,5,Experiencia,Alto
100,Arquitectura sostenible,Diseño de edificaciones ecológicas,5,Arquitectura,Alto
101,Gestión de proyectos,Planificación y ejecución de proyectos complejos,6,Gestión,Alto
102,Recursos humanos,Gestión del talento organizacional,6,RRHH,Alto
103,Consultoría estratégica,Asesoramiento en decisiones organizacionales,6,Consultoría,Alto
104,Auditoría y control,Evaluación de procesos y cumplimiento,7,Auditoría,Alto
105,Investigación de mercados,Análisis de tendencias y comportamiento del consumidor,7,Investigación,Alto
106,Educación adaptativa,Enseñanza personalizada según necesidades,8,Educación,Alto
107,Psicología educativa,Aplicación de principios psicológicos en educación,8,Psicología,Alto
108,Tecnología educativa,Integración de tecnología en procesos educativos,8,Tecnología,Alto
109,Desarrollo organizacional,Mejoramiento de estructuras y procesos organizacionales,8,Desarrollo,Alto
110,Gestión del conocimiento,Captura y distribución de conocimiento organizacional,8,Conocimiento,Alto
