matematicas,lectura_critica,ciencias_naturales,sociales_ciudadanas,ingles,dimension_1_logico_matematico,dimension_2_comprension_comunicacion,dimension_3_pensamiento_cientifico,dimension_4_analisis_social_humanistico,dimension_5_creatividad_innovacion,dimension_6_liderazgo_trabajo_equipo,dimension_7_pensamiento_critico,dimension_8_adaptabilidad_aprendizaje,area_conocimiento
391.0,220.7,403.5,272.4,318.4,4.1,2.1,3.7,2.0,1.7,2.8,2.8,4.1,26
252.7,321.5,327.9,409.7,173.3,2.0,4.0,3.8,3.8,1.7,3.0,3.2,4.2,14
253.9,356.6,268.6,401.6,294.0,1.4,4.5,2.1,3.8,2.7,3.7,3.3,4.4,16
220.1,400.1,390.6,408.5,301.8,1.5,4.6,4.5,3.3,1.6,4.0,3.2,4.3,14
235.0,348.6,193.4,248.9,417.3,1.8,4.1,1.8,4.6,1.5,2.1,2.6,2.0,28
411.6,284.4,291.4,288.7,302.6,4.3,2.7,4.4,1.1,1.3,3.4,3.0,4.1,27
200.2,275.3,369.6,402.9,301.6,2.0,2.9,3.4,4.3,2.1,3.3,3.7,3.7,24
284.1,353.4,170.1,370.2,260.7,3.0,3.4,1.3,3.8,1.5,4.2,2.7,2.4,19
391.2,220.8,298.1,176.2,215.6,3.8,2.4,2.4,1.6,1.0,3.1,4.7,2.5,30
223.4,383.2,228.0,375.2,285.2,2.6,3.3,2.3,4.5,1.8,4.0,2.8,2.9,19
211.0,350.9,334.8,309.5,314.3,1.7,4.1,4.3,4.5,1.6,2.8,2.4,4.1,14
344.3,241.9,219.6,285.7,244.6,3.6,2.4,2.6,1.1,1.0,4.3,5.0,3.9,11
228.0,335.4,208.1,392.4,290.0,1.2,4.2,1.5,4.9,3.4,3.8,3.0,4.5,16
417.7,342.3,309.4,303.6,242.9,3.4,4.3,3.2,4.3,1.9,3.6,2.9,4.8,19
403.7,216.9,319.5,245.2,203.9,3.4,2.7,3.4,2.1,2.1,2.9,1.9,4.2,26
171.9,297.8,232.2,242.5,289.4,1.9,4.7,1.9,3.0,3.7,2.5,4.5,2.6,20
270.1,290.3,275.9,251.7,253.0,3.4,2.7,2.7,3.0,2.2,2.4,2.2,2.8,6
383.1,338.4,263.4,272.6,261.4,4.4,4.8,2.4,1.8,2.5,4.1,4.5,2.8,2
339.1,262.0,251.5,252.5,243.9,3.7,3.2,1.4,2.5,1.4,3.3,2.6,4.2,25
216.6,333.6,203.5,402.7,275.5,2.1,4.6,1.5,4.6,4.4,2.4,2.2,4.7,17
239.5,316.8,386.2,370.6,243.0,1.0,3.8,4.4,4.2,1.5,2.5,2.8,3.4,14
242.8,256.1,250.9,264.6,276.3,3.3,3.0,3.2,2.7,2.2,2.7,2.7,3.1,5
211.7,251.4,244.1,255.9,243.1,2.8,3.1,3.2,3.2,2.4,3.6,3.0,2.5,6
229.0,214.0,223.2,216.4,271.9,3.1,2.2,2.9,2.6,3.1,2.3,3.2,3.0,3
423.4,212.1,355.0,150.0,227.4,4.3,2.6,4.4,1.5,1.0,2.5,4.5,2.7,12
348.8,230.5,415.5,242.7,316.1,4.0,2.9,3.8,1.9,2.2,2.9,4.4,3.8,8
383.1,204.8,363.2,197.9,277.6,4.1,2.7,4.1,2.4,1.3,3.4,3.8,2.6,9
225.6,241.8,230.3,226.2,220.9,2.5,2.4,2.1,2.4,3.2,2.9,3.1,2.1,3
232.4,347.3,271.9,240.2,212.8,1.4,4.7,1.8,2.9,4.8,2.6,3.9,2.7,20
324.8,324.1,296.5,281.2,271.7,3.4,2.8,2.9,3.7,3.8,3.2,3.2,2.4,4
203.5,462.7,225.3,303.8,312.5,1.5,4.2,1.6,2.3,3.5,1.6,4.6,3.2,22
277.7,333.2,239.0,368.7,203.5,1.4,4.1,1.8,3.6,4.1,2.6,3.0,3.8,17
228.5,320.2,241.9,376.9,247.8,1.9,4.1,2.0,4.4,2.6,2.5,4.0,3.4,18
384.0,298.0,251.0,199.2,279.8,4.3,2.8,2.7,1.0,1.0,3.6,3.9,2.8,30
251.0,233.4,234.8,234.1,253.0,2.7,2.7,3.3,3.2,3.1,2.9,2.4,3.2,6
318.3,254.0,288.7,235.3,301.8,2.6,2.0,3.1,2.3,1.9,2.4,2.8,3.1,4
369.8,263.9,284.1,187.7,247.7,4.5,2.1,3.9,1.5,2.5,2.7,2.4,4.5,27
190.7,358.5,202.6,263.6,341.7,2.4,4.1,1.5,1.8,4.8,2.6,4.1,2.3,20
221.0,441.9,251.3,353.9,267.7,2.2,4.2,1.0,3.7,1.7,3.8,2.4,2.8,19
273.5,364.4,357.9,257.5,245.6,2.8,2.5,3.1,3.7,3.7,2.5,2.5,2.7,5
389.4,288.7,411.0,289.9,364.2,4.3,3.1,4.7,1.2,2.1,2.7,4.8,3.3,10
260.5,397.8,216.8,307.4,268.7,2.8,4.3,1.0,3.6,1.0,3.6,1.4,2.7,19
271.4,359.2,197.0,257.0,242.1,1.0,4.8,1.3,3.1,3.9,2.9,5.0,2.4,20
360.2,270.0,284.0,254.0,261.5,3.8,3.3,1.6,1.5,1.3,3.9,4.2,2.9,2
224.5,273.4,240.5,292.2,283.5,2.7,2.5,2.4,2.5,2.4,2.7,3.0,3.0,6
252.7,405.3,197.1,355.4,242.2,2.4,3.5,1.5,3.0,3.6,4.4,2.9,3.6,16
311.9,235.1,260.3,296.5,335.7,2.9,2.3,2.9,2.6,2.1,2.4,2.6,3.1,4
356.7,187.5,186.6,270.6,242.9,3.8,2.1,1.4,1.2,1.0,4.5,4.6,2.2,2
437.8,234.3,198.6,225.8,279.3,4.3,3.0,1.0,2.7,1.8,4.7,3.0,4.4,25
399.6,235.0,372.5,166.1,227.5,5.0,3.8,4.5,1.5,1.3,2.8,4.7,2.9,9
268.7,239.6,245.4,269.0,311.6,2.4,2.7,3.2,2.4,2.5,2.8,3.1,3.2,6
232.8,403.9,251.9,200.6,259.1,1.0,3.8,1.0,3.2,5.0,2.7,5.0,3.3,22
359.3,279.2,369.9,188.5,255.8,4.3,3.3,4.3,1.0,1.1,2.6,2.0,3.1,26
150.3,319.9,170.3,273.4,251.1,1.0,4.1,1.5,1.6,4.7,2.0,2.9,1.4,21
205.8,397.7,225.6,257.3,282.8,1.0,4.0,1.1,3.0,4.4,2.6,4.6,2.4,22
314.2,275.0,241.3,241.4,192.1,3.5,2.5,3.1,2.2,3.0,2.3,3.1,2.7,5
371.9,323.2,258.0,332.2,191.4,2.2,4.8,1.5,4.2,2.7,5.0,4.9,3.2,11
233.8,388.3,229.7,363.5,273.2,1.2,5.0,1.2,4.4,4.5,1.9,1.6,4.9,17
280.3,343.7,226.7,267.8,217.6,2.6,4.7,2.1,1.6,3.3,4.3,4.1,3.2,29
293.9,298.7,322.9,187.2,244.8,4.3,3.3,4.1,1.2,2.0,3.0,4.2,2.4,15
266.0,245.9,205.8,341.6,333.7,4.3,2.9,1.7,2.6,1.1,3.9,2.9,3.5,25
409.1,218.5,392.6,316.5,273.2,4.3,2.1,4.2,2.7,1.8,3.0,4.1,3.4,15
293.1,387.1,233.2,270.8,246.8,1.6,4.0,2.6,2.8,3.5,3.0,4.5,3.3,20
195.4,335.9,284.2,256.7,292.1,1.2,4.0,3.4,2.6,1.4,3.6,2.9,3.8,13
197.5,376.1,255.0,319.8,276.3,1.9,3.7,2.0,3.3,4.0,3.1,3.2,3.1,21
155.5,359.1,171.5,194.8,256.4,2.2,4.0,2.0,2.8,3.4,3.2,2.9,2.4,21
419.7,232.6,392.5,183.4,300.8,4.5,3.2,4.8,1.4,2.2,2.9,5.0,3.2,15
276.1,269.3,279.8,278.2,305.4,2.8,2.6,3.0,2.1,3.3,3.3,3.3,2.6,4
293.4,281.1,244.4,296.6,234.7,2.6,2.5,2.8,2.5,3.1,3.0,2.7,3.4,4
198.7,368.2,213.2,382.1,296.0,1.8,4.5,1.3,4.4,2.5,5.0,2.6,4.2,16
246.5,280.8,264.6,235.4,220.7,2.9,2.4,2.6,2.8,2.3,2.5,2.4,2.2,7
364.8,238.3,216.6,222.4,279.3,4.1,3.1,1.2,2.5,1.4,4.2,3.5,4.4,25
261.9,386.7,251.4,283.9,244.2,1.0,4.2,1.5,3.0,3.6,2.7,3.6,2.8,22
201.9,370.2,213.8,274.3,217.6,1.4,5.0,1.5,3.1,4.4,2.0,4.7,2.2,22
264.9,324.4,359.6,353.1,285.2,1.1,3.4,4.4,2.7,1.2,4.3,3.5,4.0,13
315.0,393.9,210.8,263.9,332.6,2.4,4.2,1.7,1.5,3.1,4.2,4.0,3.1,29
290.5,259.9,214.4,301.8,273.8,2.3,3.0,2.9,2.8,2.3,2.8,2.3,2.8,7
341.0,266.7,336.9,216.1,291.0,4.1,2.5,4.8,2.2,2.2,2.6,2.6,3.9,26
261.9,407.2,202.3,418.2,250.6,3.2,4.1,2.0,4.1,1.0,3.9,3.0,2.1,19
377.0,286.5,341.6,197.8,298.9,3.5,3.3,5.0,1.1,2.5,2.5,3.8,4.0,8
441.0,172.1,361.2,220.9,237.7,4.8,2.8,4.0,1.0,1.8,1.9,4.5,2.6,12
281.9,276.3,246.0,221.5,197.8,2.7,2.7,2.8,3.0,3.1,2.7,2.5,2.7,4
366.4,281.1,455.1,182.0,272.0,4.3,2.6,4.1,1.9,1.4,2.9,4.3,4.5,8
313.8,248.4,205.2,433.9,286.0,4.0,2.1,2.3,2.9,1.7,3.6,4.3,4.0,1
361.8,251.8,253.9,274.6,267.9,4.1,2.9,1.2,2.7,1.1,4.3,4.1,3.8,1
500.0,203.6,393.3,182.8,256.1,4.7,2.4,3.9,1.3,1.2,2.4,4.4,2.5,10
319.2,256.0,245.6,224.4,239.9,4.0,2.8,4.3,1.8,1.5,2.4,3.0,4.7,27
227.2,445.6,190.3,453.0,211.1,1.0,3.8,1.7,4.1,3.2,2.9,3.9,3.8,18
331.6,176.0,344.8,240.3,260.0,3.5,2.8,4.5,1.8,1.8,2.9,3.7,4.2,26
388.6,255.1,484.1,208.5,286.4,4.7,2.4,4.2,1.7,2.0,2.8,3.2,4.6,26
351.9,382.5,368.2,319.3,257.1,3.7,2.5,4.2,1.3,1.4,4.4,4.1,2.9,13
353.6,283.7,353.6,175.3,300.7,3.5,2.3,4.5,2.3,1.6,1.7,2.5,4.6,26
235.4,232.5,236.2,226.9,188.5,2.4,3.4,3.1,2.6,3.0,3.0,2.6,2.8,4
253.2,384.0,215.4,354.8,190.4,2.1,4.2,2.0,5.0,3.1,4.2,2.2,4.5,16
376.3,230.5,266.0,244.3,298.4,4.2,2.6,4.3,2.0,1.8,2.3,4.4,3.3,12
186.7,328.7,271.8,415.6,284.6,1.0,3.5,1.0,4.3,2.1,2.8,4.1,4.7,18
388.1,230.5,321.2,249.9,184.4,4.7,2.9,4.2,1.8,1.0,2.8,4.8,3.4,8
397.0,277.2,237.2,286.1,320.6,4.6,3.2,1.4,2.6,2.1,4.1,2.9,4.2,25
364.8,196.5,394.8,231.5,274.0,3.8,3.3,3.6,1.7,2.5,2.5,2.9,4.2,26
253.3,375.8,217.0,369.2,273.8,1.4,4.2,1.5,4.2,4.7,3.1,3.2,4.5,17
328.7,409.8,246.8,326.2,262.8,2.5,4.4,1.7,1.0,2.3,3.8,4.7,3.0,29
383.3,278.2,219.1,316.5,304.3,4.2,2.6,2.7,1.7,1.0,4.8,5.0,3.6,11
260.6,269.8,281.9,246.1,232.2,3.0,3.2,2.5,3.4,3.1,3.6,3.0,3.4,4
368.5,312.5,333.0,203.6,252.9,3.9,3.4,4.2,1.4,1.6,3.9,4.3,2.8,9
150.0,352.3,273.9,221.1,270.0,1.4,3.2,1.5,2.4,3.4,2.2,3.1,2.4,22
274.1,224.8,339.9,236.9,279.8,4.7,2.6,4.7,1.5,1.9,2.7,4.3,2.6,9
206.7,294.4,183.2,260.6,273.3,1.2,4.1,1.1,2.5,4.1,3.0,4.1,2.5,20
395.6,257.2,228.1,246.0,231.8,3.9,2.6,1.0,2.7,1.5,5.0,2.9,3.8,25
212.3,300.8,187.1,380.3,242.7,1.7,4.8,1.6,4.5,3.3,3.6,3.9,3.4,18
153.9,392.5,243.3,202.3,231.5,1.0,4.6,1.1,3.0,4.7,2.8,4.8,3.1,20
223.2,454.8,175.0,436.3,208.1,1.8,3.8,1.5,4.2,2.2,4.5,2.1,4.0,16
362.1,240.2,344.8,231.0,268.2,4.1,2.5,3.7,1.1,1.0,2.8,3.8,2.3,10
309.5,278.6,267.8,290.0,278.7,3.1,2.4,2.8,2.7,2.8,2.9,3.1,3.6,3
335.2,255.9,281.2,272.0,238.7,3.9,2.7,1.4,2.3,2.0,3.5,3.3,3.7,25
248.9,306.0,228.5,240.8,232.3,3.0,3.7,2.7,3.2,2.8,2.9,3.0,2.8,6
230.3,344.9,217.6,324.2,315.9,1.3,3.2,1.6,4.2,3.0,2.7,3.4,4.2,18
380.2,286.0,345.3,206.3,293.8,4.7,1.7,4.6,2.0,2.0,2.6,4.8,5.0,8
208.6,330.3,214.6,313.9,358.8,2.7,4.2,1.9,3.9,2.5,2.7,2.5,3.3,28
269.1,334.6,160.4,373.5,252.5,2.4,4.2,1.0,4.3,1.1,3.8,2.3,1.9,19
288.1,335.8,197.0,322.2,279.7,4.0,2.5,1.3,2.8,1.9,4.7,2.5,3.6,25
381.0,292.1,199.6,224.5,237.5,4.0,2.8,1.0,1.0,1.5,4.6,4.7,3.2,2
266.1,350.0,337.8,251.3,267.1,1.3,4.4,4.7,2.3,1.4,4.7,2.8,4.7,13
404.4,244.8,351.8,370.6,153.5,4.8,3.6,4.1,1.5,1.5,4.8,3.0,4.6,24
354.7,316.7,311.1,208.5,235.7,4.5,2.9,4.4,1.1,1.4,2.8,4.9,2.3,9
222.0,423.8,278.1,245.4,267.2,1.7,4.7,2.2,3.6,3.9,3.2,4.1,2.8,22
342.2,187.3,241.1,257.6,278.0,4.4,1.9,1.0,2.0,1.0,4.4,2.1,4.8,25
394.1,283.3,357.7,247.3,259.0,3.1,2.8,4.6,2.4,2.1,3.0,2.0,4.3,23
215.4,308.3,372.8,377.1,295.5,2.1,2.9,4.4,4.0,2.2,2.7,4.4,3.8,24
241.1,374.3,248.8,220.6,253.0,3.1,2.8,2.9,3.2,2.9,3.3,3.2,3.1,6
150.0,429.8,266.4,356.0,209.5,1.7,4.2,1.8,3.4,3.1,2.7,3.9,4.2,18
385.1,252.2,425.6,298.7,229.1,2.4,2.7,3.7,1.0,1.5,2.4,3.1,4.3,23
231.2,398.6,253.4,349.5,232.9,1.5,4.4,1.3,4.2,3.1,4.2,2.9,4.2,16
229.1,469.2,368.4,438.6,172.1,1.2,5.0,3.9,4.2,1.7,2.7,4.0,4.8,14
375.3,275.2,374.3,218.6,231.1,3.9,3.9,3.4,1.9,2.1,3.2,4.0,2.7,15
370.1,297.1,150.0,194.7,257.1,4.4,2.5,1.3,2.9,1.4,4.3,2.8,3.8,25
391.3,293.5,247.2,394.9,278.7,4.8,3.2,2.1,1.9,1.1,4.5,4.6,4.6,1
232.2,350.1,196.2,375.1,264.7,2.2,4.6,1.0,3.9,1.0,4.7,2.6,2.5,19
255.9,374.9,402.1,252.9,203.6,1.8,4.9,4.6,3.1,1.6,4.9,3.3,4.5,13
339.6,261.7,307.5,225.8,268.3,4.3,2.6,4.2,1.7,1.1,2.9,4.6,2.6,10
155.4,382.1,323.3,301.2,261.3,1.5,4.5,4.7,3.0,1.0,3.8,2.7,4.5,13
379.1,236.7,317.5,231.5,263.5,4.4,3.0,2.8,1.4,2.1,4.1,2.8,2.1,30
226.0,411.6,400.0,269.7,252.1,1.1,4.7,3.6,2.5,1.9,4.8,3.0,4.4,13
388.4,272.7,252.8,213.1,179.2,3.6,2.8,2.7,1.2,1.5,4.1,3.8,2.9,30
224.2,381.7,371.2,398.6,297.3,2.2,3.3,3.9,4.3,2.7,3.3,2.3,3.9,14
398.1,174.0,240.1,394.0,292.2,3.6,2.8,1.6,3.2,1.3,3.8,4.1,4.2,1
189.0,405.6,238.3,277.3,323.7,1.5,4.8,1.7,2.7,4.2,3.3,3.6,2.8,22
200.6,354.9,243.0,281.7,262.3,1.4,3.2,1.9,2.2,4.1,3.0,3.9,1.8,22
166.3,299.4,277.1,292.3,322.5,2.5,2.4,2.2,3.1,2.4,2.0,2.3,2.9,4
150.0,410.9,204.0,286.1,384.5,1.5,4.1,1.0,4.6,1.6,2.8,2.7,2.0,28
216.5,220.3,243.9,258.1,218.0,2.6,3.2,2.7,2.0,3.4,2.9,3.7,2.9,7
210.9,394.8,246.9,236.5,270.4,2.9,3.6,1.0,1.3,2.2,3.6,4.7,2.6,29
281.7,370.5,381.0,388.8,285.4,1.5,4.3,4.4,3.6,1.6,2.2,2.9,3.8,14
265.0,414.1,190.6,415.3,231.2,1.4,4.9,1.4,4.2,4.0,2.0,2.4,4.3,17
197.4,246.1,270.8,271.6,273.9,2.5,2.7,2.7,3.2,2.3,2.3,2.7,2.6,4
282.7,180.9,216.3,326.3,241.3,2.1,2.1,3.1,2.7,2.3,2.8,2.5,2.5,7
220.8,388.6,194.1,344.4,254.6,1.0,4.6,1.7,2.8,5.0,2.6,4.6,3.9,22
377.3,250.9,236.9,391.5,256.5,4.0,2.9,1.0,3.2,1.5,4.5,4.1,4.8,1
410.3,283.3,438.0,239.9,225.1,3.5,2.9,4.5,1.7,2.0,2.2,4.0,5.0,8
231.7,315.3,157.6,352.9,300.1,1.7,4.4,1.6,4.4,2.7,3.6,3.0,4.6,16
180.6,333.8,164.1,256.1,280.4,2.1,5.0,1.8,2.1,4.1,2.0,4.1,2.3,22
207.4,320.1,238.7,241.3,246.1,1.0,3.5,1.4,2.5,4.4,3.1,2.8,3.6,21
373.8,316.8,337.2,230.3,307.4,4.0,2.4,3.7,1.5,1.9,2.2,3.9,2.8,10
322.0,206.5,307.3,183.4,262.4,3.7,2.5,3.8,1.0,1.7,3.0,4.0,4.2,8
219.7,367.6,264.6,278.0,234.8,3.5,5.0,1.7,2.0,4.3,4.6,3.8,3.0,21
318.1,185.1,242.9,250.9,282.4,4.2,3.0,2.3,2.0,1.9,3.6,4.3,4.1,11
310.2,217.3,196.1,246.7,266.5,3.5,2.4,1.2,1.0,1.1,3.3,3.9,2.4,2
220.2,290.6,326.3,240.0,288.7,2.6,2.7,3.2,3.4,2.9,2.7,2.6,3.4,6
223.8,359.8,239.7,175.4,274.2,1.1,4.4,1.0,2.7,4.5,3.0,3.0,2.9,21
261.7,288.7,331.6,234.4,223.9,2.3,3.0,2.6,2.2,3.4,2.7,2.7,2.7,7
240.1,194.1,223.7,262.1,274.2,3.0,2.3,2.8,2.5,2.7,3.0,2.5,2.6,5
412.1,206.6,280.1,231.7,264.9,4.4,1.8,2.7,1.7,1.1,4.3,3.6,2.3,30
